Muestras;Original;           FFT;       Suavizada;       IFFT(FFT)
32;0.0113863640000000;1.4768519599026049 +(-2.0001403619654377i);0.0007558299429672;0.0113863640000000
33;0.0117000000000000;0.4492907479037350 +(0.7223403672799282i);0.0007593128830076;0.0117000000000000
34;0.0122857140000000;-1.4186829465337401 +(-1.4597907120249514i);0.0007630064834429;0.0122857140000000
35;0.0126166670000000;-0.0911441429844453 +(1.4345365669376187i);0.0007669111160637;0.0126166670000000
36;0.0130166670000000;1.1902476583384192 +(-3.5705440676161260i);0.0007710271275277;0.0130166670000000
37;0.0133035710000000;2.9024895746900725 +(-0.1706789144904134i);0.0007753548393166;0.0133035710000000
38;0.0135000000000000;11.6088813922320110 +(1.3278922641800284i);0.0007798945476954;0.0135000000000000
39;0.0137500000000000;-11.9533786834269780 +(-3.9546006125102986i);0.0007846465236754;0.0137500000000000
40;0.0138000000000000;-2.2014587132519656 +(-4.3640181060234271i);0.0007896110129798;0.0138000000000000
41;0.0137500000000000;0.4684342035771603 +(-1.6633955295522500i);0.0007947882360132;0.0137500000000000
42;0.0137500000000000;-2.6091818547201786 +(0.5158387192384601i);0.0008001783878343;0.0137500000000000
43;0.0135666670000000;1.3850417826206511 +(0.9949040738308409i);0.0008057816381309;0.0135666670000000
44;0.0133863640000000;-1.2690831956299324 +(0.7390798599493329i);0.0008115981311995;0.0133863640000000
45;0.0130535710000000;0.5181628136833307 +(0.1766378247859516i);0.0008176279859273;0.0130535710000000
46;0.0127000000000000;-1.6355262290005161 +(0.6598827768891213i);0.0008238712957772;0.0127000000000000
47;0.0121666670000000;0.2186797526580846 +(-0.8025050019014312i);0.0008303281287769;0.0121666670000000
48;0.0117307690000000;-0.9305710649870093 +(0.3707596365969949i);0.0008369985275105;0.0117307690000000
49;0.0110892860000000;0.6593648259080315 +(-1.1936242022606114i);0.0008438825091135;0.0110892860000000
50;0.0104166670000000;-0.3453249612020341 +(0.5989845830079326i);0.0008509800652714;0.0104166670000000
51;0.0096964290000000;0.4411730074076691 +(-1.3303360517110860i);0.0008582911622207;0.0096964290000000
52;0.0088392860000000;-0.0879854574947767 +(1.1515608185708710i);0.0008658157407542;0.0088392860000000
53;0.0078500000000000;-0.2356538528916815 +(-0.8463134876889169i);0.0008735537162285;0.0078500000000000
54;0.0066250000000000;-0.6957843308928634 +(0.6668851178825805i);0.0008815049785752;0.0066250000000000
55;0.0054642860000000;-0.7279006527452511 +(-0.7184634883809240i);0.0008896693923156;0.0054642860000000
56;0.0042083330000000;0.2013968785303010 +(0.6056253697380668i);0.0008980467965777;0.0042083330000000
